il,x,y
Adana,-30.0,-105.0
Adıyaman,143.0,-70.0
Afyon,-287.0,-27.0
Ağrı,366.0,59.0
Amasya,-9.0,112.0
Ankara,-181.0,49.0
Antalya,-285.0,-133.0
Artvin,292.0,160.0
Aydın,-421.0,-75.0
Balıkesir,-423.0,45.0
Bilecik,-296.0,74.0
Bingöl,244.0,8.0
Bitlis,323.0,-31.0
Bolu,-204.0,100.0
Burdur,-308.0,-104.0
Bursa,-355.0,66.0
Çanakkale,-474.0,70.0
Çankırı,-129.0,106.0
Çorum,-69.0,92.0
Denizli,-357.0,-98.0
Diyarbakır,219.0,-54.0
Edirne,-451.0,190.0
Elazığ,155.0,-25.0
Erzincan,158.0,47.0
Erzurum,267.0,75.0
Eskişehir,-260.0,38.0
Gaziantep,85.0,-128.0
Giresun,134.0,112.0
Gümüşhane,180.0,97.0
Hakkari,427.0,-75.0
Hatay,22.0,-179.0
Isparta,-248.0,-90.0
İstanbul,-354.0,148.0
İzmir,-440.0,-42.0
Kars,355.0,104.0
Kastamonu,-119.0,161.0
Kayseri,-13.0,-31.0
Kırklareli,-422.0,182.0
Kırşehir,-98.0,15.0
Kocaeli,-302.0,124.0
Konya,-194.0,-62.0
Kütahya,-335.0,18.0
Malatya,107.0,-30.0
Manisa,-413.0,-8.0
Mersin,-113.0,-160.0
Kahramanmaraş,45.0,-76.0
Mardin,253.0,-106.0
Muğla,-408.0,-109.0
Muş,298.0,4.0
Nevşehir,-59.0,-22.0
Niğde,-61.0,-71.0
Ordu,82.0,119.0
Rize,250.0,132.0
Sakarya,-266.0,108.0
Samsun,2.0,142.0
Siirt,328.0,-58.0
Sinop,-47.0,168.0
Sivas,61.0,41.0
Tekirdağ,-428.0,143.0
Tokat,47.0,92.0
Trabzon,194.0,125.0
Tunceli,180.0,13.0
Şanlıurfa,158.0,-121.0
Uşak,-335.0,-29.0
Van,407.0,-34.0
Yozgat,-33.0,40.0
Zonguldak,-200.0,143.0
Aksaray,-108.0,-54.0
Bayburt,222.0,87.0
Karaman,-133.0,-126.0
Kırıkkale,-106.0,45.0
Batman,296.0,-75.0
Şırnak,341.0,-88.0
Bartın,-163.0,168.0
Ardahan,345.0,143.0
Iğdır,411.0,79.0
Yalova,-332.0,105.0
Karabük,-158.0,129.0
Kilis,86.0,-148.0
Osmaniye,33.0,-123.0
Düzce,-227.0,121.0

